<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.30	18:30:00	3287.00	3292.74	3286.69	3290.81	2455	0	2
2025.05.30	18:45:00	3290.74	3292.00	3287.39	3288.67	2266	0	5
2025.05.30	19:00:00	3288.67	3290.99	3287.75	3289.16	1870	0	5
2025.05.30	19:15:00	3289.15	3292.34	3287.13	3289.08	2066	0	5
2025.05.30	19:30:00	3289.08	3290.14	3284.02	3287.82	2639	0	8
2025.05.30	19:45:00	3287.82	3295.76	3285.99	3293.42	2164	0	5
2025.05.30	20:00:00	3293.37	3294.63	3291.25	3294.46	1862	0	5
2025.05.30	20:15:00	3294.43	3294.75	3289.81	3291.70	1687	0	5
2025.05.30	20:30:00	3291.65	3294.23	3290.32	3293.99	1280	0	5
2025.05.30	20:45:00	3293.99	3294.28	3290.97	3291.03	1243	0	5
2025.05.30	21:00:00	3291.03	3294.84	3291.03	3294.06	1209	0	5
2025.05.30	21:15:00	3294.06	3294.97	3292.07	3294.52	1277	0	5
2025.05.30	21:30:00	3294.52	3295.04	3293.57	3294.44	975	0	5
2025.05.30	21:45:00	3294.44	3294.96	3293.78	3293.89	853	0	5
2025.05.30	22:00:00	3293.89	3295.07	3292.97	3294.32	932	0	5
2025.05.30	22:15:00	3294.32	3294.35	3292.55	3293.25	783	0	5
2025.05.30	22:30:00	3293.25	3294.63	3292.77	3293.77	898	0	6
2025.05.30	22:45:00	3293.77	3295.02	3291.65	3294.92	1301	0	9
2025.05.30	23:00:00	3294.93	3295.79	3292.80	3293.09	832	0	5
2025.05.30	23:15:00	3293.08	3293.41	3290.38	3290.41	632	0	5
2025.05.30	23:30:00	3290.41	3292.16	3289.92	3292.06	406	0	5
2025.05.30	23:45:00	3292.06	3292.28	3288.72	3288.72	444	0	40
2025.06.02	01:00:00	3298.26	3309.51	3295.92	3307.38	1960	0	5
2025.06.02	01:15:00	3307.33	3308.65	3299.80	3304.01	1390	0	5
2025.06.02	01:30:00	3304.01	3305.91	3302.59	3305.82	958	0	5
2025.06.02	01:45:00	3305.82	3315.12	3305.71	3313.18	1323	0	5
2025.06.02	02:00:00	3313.18	3316.66	3312.54	3313.79	1182	0	5
2025.06.02	02:15:00	3313.79	3314.09	3311.33	3312.17	772	0	5
2025.06.02	02:30:00	3312.17	3313.20	3310.27	3311.37	733	0	5
2025.06.02	02:45:00	3311.37	3312.34	3309.23	3310.24	994	0	5
2025.06.02	03:00:00	3310.24	3314.82	3309.82	3313.22	1472	0	5
2025.06.02	03:15:00	3313.22	3314.97	3311.42	3312.93	1389	0	5
2025.06.02	03:30:00	3312.98	3313.62	3303.34	3307.43	1758	0	5
2025.06.02	03:45:00	3307.43	3311.62	3307.26	3311.36	1674	0	5
2025.06.02	04:00:00	3311.36	3313.65	3310.63	3312.36	1629	0	5
2025.06.02	04:15:00	3312.35	3313.38	3308.22	3309.38	1648	0	5
2025.06.02	04:30:00	3309.38	3310.81	3303.91	3306.47	1932	0	5
2025.06.02	04:45:00	3306.48	3307.14	3301.48	3303.72	1749	0	5
2025.06.02	05:00:00	3303.72	3308.93	3303.50	3308.48	1519	0	5
2025.06.02	05:15:00	3308.46	3311.52	3306.46	3306.91	1394	0	5
2025.06.02	05:30:00	3306.91	3309.70	3306.75	3307.22	1048	0	5
2025.06.02	05:45:00	3307.22	3308.58	3305.18	3307.38	1121	0	5
2025.06.02	06:00:00	3307.38	3307.68	3304.40	3305.33	1090	0	5
2025.06.02	06:15:00	3305.32	3308.43	3305.03	3305.62	1006	0	5
2025.06.02	06:30:00	3305.62	3306.04	3303.34	3305.38	1153	0	5
2025.06.02	06:45:00	3305.38	3308.90	3305.08	3308.65	1165	0	5
2025.06.02	07:00:00	3308.64	3312.34	3308.64	3311.53	1348	0	5
2025.06.02	07:15:00	3311.55	3313.97	3311.27	3313.62	1126	0	5
2025.06.02	07:30:00	3313.65	3315.75	3312.93	3314.77	1128	0	5
2025.06.02	07:45:00	3314.77	3318.18	3313.66	3313.91	1273	0	5
2025.06.02	08:00:00	3313.91	3319.66	3313.86	3318.74	1365	0	5
2025.06.02	08:15:00	3318.74	3319.80	3316.51	3318.18	1273	0	5
2025.06.02	08:30:00	3318.18	3323.21	3316.55	3322.56	1389	0	5
2025.06.02	08:45:00	3322.58	3325.69	3322.56	3323.79	1556	0	5
2025.06.02	09:00:00	3323.79	3329.34	3323.79	3327.96	2052	0	5
2025.06.02	09:15:00	3328.00	3337.97	3327.71	3337.60	2419	0	0
2025.06.02	09:30:00	3337.60	3345.08	3336.01	3345.08	2576	0	0
2025.06.02	09:45:00	3345.08	3345.40	3339.99	3344.47	2293	0	5
2025.06.02	10:00:00	3344.47	3352.67	3343.22	3351.37	2677	0	0
2025.06.02	10:15:00	3351.37	3358.88	3351.22	3353.62	3055	0	0
2025.06.02	10:30:00	3353.52	3359.03	3353.40	3354.49	2331	0	0
2025.06.02	10:45:00	3354.49	3356.87	3350.87	3352.62	2491	0	5
2025.06.02	11:00:00	3352.62	3356.43	3350.74	3353.67	1862	0	4
2025.06.02	11:15:00	3353.67	3355.11	3350.62	3353.08	1639	0	5
2025.06.02	11:30:00	3353.08	3354.67	3350.11	3353.71	1602	0	5
2025.06.02	11:45:00	3353.71	3355.69	3352.07	3352.08	1434	0	5
2025.06.02	12:00:00	3352.08	3352.48	3347.14	3348.57	1756	0	5
2025.06.02	12:15:00	3348.57	3351.13	3346.44	3347.04	1554	0	5
2025.06.02	12:30:00	3347.04	3347.70	3344.54	3346.77	1972	0	0
2025.06.02	12:45:00	3346.79	3348.54	3346.05	3348.38	1660	0	5
2025.06.02	13:00:00	3348.38	3349.52	3345.56	3346.46	1536	0	5
2025.06.02	13:15:00	3346.46	3350.69	3346.46	3349.36	1472	0	5
2025.06.02	13:30:00	3349.36	3350.54	3345.11	3345.24	1880	0	5
2025.06.02	13:45:00	3345.24	3351.37	3344.64	3348.65	1979	0	0
2025.06.02	14:00:00	3348.65	3350.01	3346.12	3349.32	2002	0	5
2025.06.02	14:15:00	3349.32	3354.04	3349.07	3353.41	1650	0	5
2025.06.02	14:30:00	3353.43	3360.10	3353.43	3356.72	2101	0	5
2025.06.02	14:45:00	3356.72	3358.63	3353.23	3356.37	1882	0	5
2025.06.02	15:00:00	3356.33	3359.90	3354.01	3357.80	2119	0	3
2025.06.02	15:15:00	3357.82	3363.54	3357.06	3360.85	2393	0	0
2025.06.02	15:30:00	3360.87	3363.65	3360.38	3361.77	2394	0	5
2025.06.02	15:45:00	3361.76	3362.12	3354.72	3355.48	2518	0	5
2025.06.02	16:00:00	3355.48	3357.69	3352.86	3356.50	2737	0	5
2025.06.02	16:15:00	3356.50	3357.69	3352.03	3355.82	2322	0	5
2025.06.02	16:30:00	3355.79	3366.82	3350.41	3366.70	3580	0	5
2025.06.02	16:45:00	3366.69	3376.23	3364.97	3371.00	3680	0	5
2025.06.02	17:00:00	3371.00	3376.48	3367.73	3374.49	3870	0	6
2025.06.02	17:15:00	3374.48	3378.11	3372.05	3373.16	3346	0	0
2025.06.02	17:30:00	3373.24	3378.02	3372.13	3378.02	3251	0	4
2025.06.02	17:45:00	3378.02	3378.82	3375.42	3376.17	2692	0	5
2025.06.02	18:00:00	3376.05	3378.79	3373.48	3374.81	2677	0	5
2025.06.02	18:15:00	3374.81	3378.33	3369.85	3373.41	2585	0	3
2025.06.02	18:30:00	3373.41	3375.11	3371.10	3374.84	2188	0	5
2025.06.02	18:45:00	3374.84	3376.01	3372.50	3374.37	1871	0	5
